,0,1,2,3,4,5
529603739,529915267,529913120,529916119,529603740,2210927860,
529915267,529603739,437385385,2429867745,1780955523,,
529916119,529916107,529603739,282539330,529916131,,
2923922894,1858172112,2653342471,529920415,,,
1858172112,2923922894,1462813680,566306010,,,
28818120,529920415,700944194,,,,
529920415,28818120,2923922894,,,,
282539473,282539474,3607821411,,,,
282539474,282539473,3607821401,,,,
282539407,28818119,532170110,282539394,529950931,,
28818119,282539407,700944194,700944194,,,
529931628,529931641,529931671,558945352,,,
529931641,529931628,529931648,532170110,,,
529931671,742870583,529931628,529931668,,,
742870583,529931671,671235960,,,,
532170110,282539407,532192278,529931641,,,
529950931,529931648,282539407,,,,
529931648,529950931,529931656,529931641,,,
529956165,529956169,,,,,
529956169,529956165,,,,,
530020576,530020637,516454378,534690696,,,
530020770,530020977,1471859711,530020887,,,
530020977,530020770,530020887,,,,
531236133,2111974176,2085698536,926503688,2069319816,,
2111974176,531236133,539553142,2111974182,,,
539553142,2111974176,531236144,2511271132,,,
531236144,539553142,1785810331,539373925,539553174,,
538384740,279008275,1921616631,,,,
279197989,2893352717,1934286456,279191769,1837284140,726662271,
2893352717,279197989,512024707,2150189686,,,
512024707,2893352717,2150189697,2899487003,532145013,,
279010048,1900806284,279010051,1423188756,,,
1900806284,279010048,532144808,1900806283,,,
532144808,1900806284,2233552934,532144559,1900806255,,
532144917,1846857149,1674426169,1979860777,,,
1846857149,532144917,2396116116,532144437,4004573103,,
726662277,279012689,726662275,726662239,,,
726662275,726662277,2150189690,726662239,,,
2150189690,726662275,1591345037,2150189687,,,
1591345037,2150189690,2150189695,1591345042,,,
2150189695,1591345037,2150189697,2150189689,,,
2150189697,2150189695,512024707,2150189692,,,
532159040,1976242652,4433118752,1976242644,,,
1976242652,532159040,2912608554,1976242650,,,
2912608554,1976242652,532159053,,,,
532163580,1962746878,1654044432,532163697,2428911444,,
1962746878,532163580,534455952,2909350236,,,
1654044432,532163580,28814403,1654044434,,,
1654044446,1654044434,914437767,2987175254,,,
532205104,1859766175,3898807651,,,,
1859766175,532205104,4982908957,1859766184,,,
4982908957,1859766175,1859766178,532208628,,,
1859766178,4982908957,1180413999,1859766184,,,
1180413999,1859766178,2428911444,1180413994,,,
2428911444,1180413999,532163580,,,,
532179743,28814385,2310030427,532192493,,,
28814385,532179743,550187677,2905535053,2310030426,2905535081,
28814394,532185335,1775886766,1775886772,28814396,,
532185335,28814394,282539384,28814396,,,
2639509863,2639509860,,,,,
2639509860,2639509863,2639509862,,,,
532192278,4982908950,532170110,3898807651,,,
4982908950,532192278,3898807646,4982908953,,,
3898807646,4982908950,532192332,3898807651,,,
532192332,3898807646,532192350,2162633364,,,
532192350,532192332,532192364,558945347,,,
532192364,532192350,4982908958,,,,
4982908958,532192364,4982908961,4982908960,,,
4982908961,4982908958,532192460,4982908963,,,
532192460,4982908961,558975313,,,,
532208628,532208598,4982908957,,,,
532208598,532208628,,,,,
532197702,532213473,532226468,,,,
532213473,532197702,532226468,,,,
532179726,532225602,,,,,
532225602,532179726,2943930335,2943898128,,,
2943930335,532225602,2943930339,2943930338,,,
2943930339,2943930335,558966144,2943930341,,,
558966144,2943930339,2310030427,1775886739,2943939562,,
2310030427,558966144,532179743,2310030428,,,
2943898128,532225602,532225620,2943939035,2943939044,,
532225620,2943898128,558966138,,,,
532226468,532213473,532197702,2218288674,,,
1987506305,28809630,1973474948,1987506289,,,
1973474948,1987506305,1987506307,1973474950,,,
1987506307,1973474948,507247000,1987506299,,,
2331001000,507247000,2318015782,2331001027,,,
2318015782,2331001000,409717377,2318015786,,,
409717377,2318015782,544544010,2374517612,1423269120,,
532144456,532144485,532144437,517236938,,,
532144437,532144456,1846857149,,,,
532144833,532144869,1674426214,,,,
